Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
2MASX J13420222+4919364,Bader,2024-03-06T21:36:42.131,205.50910749999997,49.327020000000005,205.50597134904152,49.32698027853205,0.002044344301547643,,,,7.826249664219517,,,,-2.2338842454000813,,,,1.478896
GB6 B1339+4931,Bader,2024-03-06T21:36:42.131,205.25666666666663,49.275277777777774,205.26971547551767,49.303943698439845,0.02990268277605379,,,,24.7407631846651,,,,-3.4835327307324073,,,,1.478896
HD 234063,Bader,2024-03-06T21:36:42.131,205.56694041666665,49.57883861111112,205.55594886695525,49.58289303706062,0.008199227132736719,,,,23.18747647175269,,,,-3.413133715705818,,,,1.478896
NVSS J134052+493231,Bader,2024-03-06T21:36:42.131,205.2195833333333,49.54222222222222,205.23113150751507,49.53991220790881,0.007841610436237172,,,,19.32979737278393,,,,-3.2155682537543813,,,,1.478896
NVSS J134138+491855,Bader,2024-03-06T21:36:42.131,205.40599166666667,49.31940555555556,205.4229627689603,49.31538183254944,0.01177194101150134,,,,5.920851642418683,,,,-1.930960447973484,,,,1.478896
SDSS J134038.43+492516.4,Bader,2024-03-06T21:36:42.131,205.16015416666664,49.42124166666667,205.1840694434205,49.44802983079053,0.030975553397975843,,,,31.28441702151811,,,,-3.738320166008258,,,,1.478896
SDSS J134041.67+491923.3,Bader,2024-03-06T21:36:42.131,205.17365249999995,49.323147222222225,205.1921919437847,49.31500926176744,0.014569497629690136,,,,8.511286961016012,,,,-2.3249880828816822,,,,1.478896
SDSS J134056.73+492919.2,Bader,2024-03-06T21:36:42.131,205.23641666666663,49.488689722222226,205.22201356728874,49.48702112527834,0.009504008365903888,,,,32.653400218424025,,,,-3.784821028285888,,,,1.478896
SDSS J134057.37+492154.7,Bader,2024-03-06T21:36:42.131,205.23904999999996,49.36520277777778,205.2233321953265,49.373737824973496,0.013326826054536155,,,,63.39314669923601,,,,-4.5051057743737974,,,,1.478896
SDSS J134058.16+492418.5,Bader,2024-03-06T21:36:42.131,205.24235541666664,49.40516944444445,205.2369529434302,49.40809904655883,0.0045760255936954375,,,,29.262337313478454,,,,-3.665772530533168,,,,1.478896
SDSS J134100.38+492352.7,Bader,2024-03-06T21:36:42.131,205.25157791666663,49.397981944444446,205.267265720143,49.391449468413846,0.012121213060688814,,,,9.060346236499527,,,,-2.392861985838835,,,,1.478896
SDSS J134111.37+492627.6,Bader,2024-03-06T21:36:42.131,205.2973808333333,49.44103388888889,205.30535102153678,49.43709829150195,0.006507607087055848,,,,43.719561292344935,,,,-4.1016894883365635,,,,1.478896
SDSS J134117.55+491615.4,Bader,2024-03-06T21:36:42.131,205.32315999999997,49.27096805555556,205.32781319250404,49.29957550591241,0.028768019292831327,,,,12.622572062818222,,,,-2.7528696469521763,,,,1.478896
SDSS J134128.52+492438.1,Bader,2024-03-06T21:36:42.131,205.36885916666665,49.410598888888885,205.391565574729,49.40804139485078,0.014993668197521374,,,,53.69481558797125,,,,-4.324830887888071,,,,1.478896
