Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
TYC 4273-695-1,2022-12-07 20:27:51.231,339.6230466666666,65.06957249999999,339.64583775738254,65.07371025694835,0.010459355328711,,11.706887245178224,12.47,12.15,,,294.3254245800732,,,-3.033888185201511,1.103271,,,-2.046748754900215
TYC 4273-822-1,2022-12-07 20:27:51.231,339.8645287499999,65.14470083333335,339.87176195226715,65.15427975829235,0.0100496765495537,,10.90470027923584,11.65,10.91,,,339.9286812396896,,,-3.190288260781093,1.103271,,,-2.2031488304797966
TYC 4273-849-1,2022-12-07 20:27:51.231,339.3875783333333,65.02880222222223,339.3907014911828,65.02618102044077,0.0029341541074342,,12.342562675476074,13.1,12.34,,,556.5929813088388,,,-3.725663051084889,1.103271,,,-2.738523620783593
TYC 4273-922-1,2022-12-07 20:27:51.231,339.2812283333333,64.93230138888889,339.28928792434544,64.92848161231433,0.005123761482743,,10.665483474731444,11.47,10.81,,,226.83396838008548,,,-2.7510889639336606,1.103271,,,-1.7639495336323643
V* RZ Cep,2022-12-07 20:27:51.231,339.8049033333333,64.85850305555554,339.78602908428786,64.85854143161767,0.0080189084988018,9.300000190734863,9.294269561767578,9.48,9.49,,,140.7360870969269,,,-2.232832417529998,1.103271,,,-1.2456929872287015
TYC 4273-1186-1,2022-12-07 20:33:00.346,339.8064062499999,65.00935527777777,339.79589462058567,65.00316590117549,0.0076180122329846,,11.109890937805176,11.52,11.2,,,201.03810812136896,,,-2.620014708879169,1.108065,,,-1.8594430758471994
TYC 4273-149-1,2022-12-07 20:33:00.346,339.36657125,64.86602138888888,339.4358049063438,64.88005101154926,0.0325744508015118,,12.062689781188965,12.75,12.0,,,324.1904845717794,,,-3.138819396167825,1.108065,,,-2.3782477631358554
TYC 4273-319-1,2022-12-07 20:33:00.346,339.58776499999993,65.066285,339.50954616884167,65.07335486658273,0.0337197755360921,,12.238874435424805,12.89,12.44,,,218.20400082853087,,,-2.708975510317831,1.108065,,,-1.9484038772858612
TYC 4273-343-1,2022-12-07 20:33:00.346,339.3993054166666,65.13731277777778,339.4102318386365,65.13988529036511,0.0052650016882277,,11.055931091308594,11.54,11.04,,,259.02911897749766,,,-2.895190208259556,1.108065,,,-2.1346185752275866
TYC 4273-695-1,2022-12-07 20:33:00.346,339.6230466666666,65.06957249999999,339.66016173143424,65.06949586077714,0.0156448574152442,,11.706887245178224,12.47,12.15,,,282.2211990894496,,,-2.988292819095329,1.108065,,,-2.2277211860633592
TYC 4273-822-1,2022-12-07 20:33:00.346,339.8645287499999,65.14470083333335,339.8726201302157,65.15381648294503,0.0097292408086791,,10.90470027923584,11.65,10.91,,,200.45007883007395,,,-2.616834315690617,1.108065,,,-1.8562626826586475
TYC 4273-849-1,2022-12-07 20:33:00.346,339.3875783333333,65.02880222222223,339.40506785149097,65.02199299578841,0.0100446193085067,,12.342562675476074,13.1,12.34,,,510.1205705174373,,,-3.631000829063656,1.108065,,,-2.8704291960316866
TYC 4273-922-1,2022-12-07 20:33:00.346,339.2812283333333,64.93230138888889,339.3036263073096,64.92431048834027,0.0124071391353969,,10.665483474731444,11.47,10.81,,,211.33436088271924,,,-2.6742440242235266,1.108065,,,-1.913672391191557
V* RZ Cep,2022-12-07 20:33:00.346,339.8049033333333,64.85850305555554,339.80025570276314,64.85428151943819,0.004660569237007,9.300000190734863,9.294269561767578,9.48,9.49,,,138.844317335744,,,-2.218139011011032,1.108065,,,-1.4575673779790623
TYC 4273-1186-1,2022-12-07 20:38:09.114,339.8064062499999,65.00935527777777,339.8068178239295,65.0170513088617,0.0076979944923532,,11.109890937805176,11.52,11.2,,,207.2378326544283,,,-2.652991341435493,1.113064,,,-1.8923216607544235
TYC 4273-149-1,2022-12-07 20:38:09.114,339.36657125,64.86602138888888,339.3954819276835,64.89375520977032,0.0303280944418524,,12.062689781188965,12.75,12.0,,,96.82568356319791,,,-1.826795166418716,1.113064,,,-1.0661254857376465
TYC 4273-319-1,2022-12-07 20:38:09.114,339.58776499999993,65.066285,339.51052186908345,65.06631513426859,0.0325633399827725,,12.238874435424805,12.89,12.44,,,222.69330184199407,,,-2.7310866235986264,1.113064,,,-1.970416942917557
TYC 4273-343-1,2022-12-07 20:38:09.114,339.3993054166666,65.13731277777778,339.4112805595502,65.13286706851407,0.0067170444163821,,11.055931091308594,11.54,11.04,,,258.1339993470215,,,-2.891431762514088,1.113064,,,-2.130762081833019
TYC 4273-695-1,2022-12-07 20:38:09.114,339.6230466666666,65.06957249999999,339.6610371087892,65.06244469177481,0.0175302810440489,,11.706887245178224,12.47,12.15,,,285.5302140287423,,,-3.0009489144203823,1.113064,,,-2.240279233739313
TYC 4273-822-1,2022-12-07 20:38:09.114,339.8645287499999,65.14470083333335,339.87354147350976,65.14673070501111,0.0042977320499396,,10.90470027923584,11.65,10.91,,,192.25196942784373,,,-2.57149573075654,1.113064,,,-1.8108260500754705
TYC 4273-849-1,2022-12-07 20:38:09.114,339.3875783333333,65.02880222222223,339.3786737147897,65.03528512112564,0.0074937378503853,,12.342562675476074,13.1,12.34,,,513.8262897828165,,,-3.638859539887307,1.113064,,,-2.8781898592062376
TYC 4273-922-1,2022-12-07 20:38:09.114,339.2812283333333,64.93230138888889,339.30449971357467,64.91726938192707,0.0179786507689828,,10.665483474731444,11.47,10.81,,,208.2173222102149,,,-2.6581108795172965,1.113064,,,-1.8974411988362272
V* RZ Cep,2022-12-07 20:38:09.114,339.8049033333333,64.85850305555554,339.8105485022269,64.86047489991958,0.0031048303191536,9.300000190734863,9.294269561767578,9.48,9.49,,,125.088247266326,,,-2.1048600053370783,1.113064,,,-1.344190324656009
