Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
TYC 4273-695-1,2022-12-07T20:27:51.231,339.6230466666666,65.06957249999999,339.64583775738254,65.07371025694835,0.010459355328711041,,,12.47,,,294.3254245800732,,,-3.033888185201511,1.103271
TYC 4273-822-1,2022-12-07T20:27:51.231,339.8645287499999,65.14470083333335,339.87176195226715,65.15427975829235,0.010049676549553705,,,11.65,,,339.9286812396896,,,-3.190288260781093,1.103271
TYC 4273-849-1,2022-12-07T20:27:51.231,339.3875783333333,65.02880222222223,339.3907014911828,65.02618102044077,0.0029341541074342924,,,13.1,,,556.5929813088388,,,-3.725663051084889,1.103271
TYC 4273-922-1,2022-12-07T20:27:51.231,339.2812283333333,64.93230138888889,339.28928792434544,64.92848161231433,0.0051237614827430175,,,11.47,,,226.83396838008548,,,-2.7510889639336606,1.103271
V* RZ Cep,2022-12-07T20:27:51.231,339.8049033333333,64.85850305555554,339.78602908428786,64.85854143161767,0.008018908498801876,,,9.48,,,140.7360870969269,,,-2.232832417529998,1.103271
TYC 4273-1186-1,2022-12-07T20:33:00.346,339.8064062499999,65.00935527777777,339.79589462058567,65.00316590117549,0.007618012232984692,,,11.52,,,201.03810812136896,,,-2.620014708879169,1.108065
TYC 4273-149-1,2022-12-07T20:33:00.346,339.36657125,64.86602138888888,339.4358049063438,64.88005101154926,0.0325744508015118,,,12.75,,,324.1904845717794,,,-3.1388193961678255,1.108065
TYC 4273-319-1,2022-12-07T20:33:00.346,339.58776499999993,65.066285,339.50954616884167,65.07335486658273,0.03371977553609214,,,12.89,,,218.20400082853087,,,-2.708975510317831,1.108065
TYC 4273-343-1,2022-12-07T20:33:00.346,339.3993054166666,65.13731277777778,339.4102318386365,65.13988529036511,0.00526500168822772,,,11.54,,,259.02911897749766,,,-2.8951902082595553,1.108065
TYC 4273-695-1,2022-12-07T20:33:00.346,339.6230466666666,65.06957249999999,339.66016173143424,65.06949586077714,0.015644857415244254,,,12.47,,,282.22119908944956,,,-2.988292819095329,1.108065
TYC 4273-822-1,2022-12-07T20:33:00.346,339.8645287499999,65.14470083333335,339.87262013021575,65.15381648294503,0.00972924080867912,,,11.65,,,200.45007883007395,,,-2.6168343156906175,1.108065
TYC 4273-849-1,2022-12-07T20:33:00.346,339.3875783333333,65.02880222222223,339.40506785149097,65.02199299578841,0.010044619308506777,,,13.1,,,510.1205705174373,,,-3.6310008290636557,1.108065
TYC 4273-922-1,2022-12-07T20:33:00.346,339.2812283333333,64.93230138888889,339.3036263073096,64.92431048834027,0.012407139135396929,,,11.47,,,211.33436088271924,,,-2.6742440242235266,1.108065
V* RZ Cep,2022-12-07T20:33:00.346,339.8049033333333,64.85850305555554,339.80025570276314,64.85428151943819,0.004660569237007077,,,9.48,,,138.844317335744,,,-2.218139011011032,1.108065
TYC 4273-1186-1,2022-12-07T20:38:09.114,339.8064062499999,65.00935527777777,339.8068178239295,65.0170513088617,0.007697994492353229,,,11.52,,,207.2378326544283,,,-2.652991341435493,1.113064
TYC 4273-149-1,2022-12-07T20:38:09.114,339.36657125,64.86602138888888,339.3954819276835,64.89375520977032,0.030328094441852412,,,12.75,,,96.82568356319791,,,-1.8267951664187159,1.113064
TYC 4273-319-1,2022-12-07T20:38:09.114,339.58776499999993,65.066285,339.51052186908345,65.06631513426859,0.03256333998277253,,,12.89,,,222.69330184199407,,,-2.7310866235986264,1.113064
TYC 4273-343-1,2022-12-07T20:38:09.114,339.3993054166666,65.13731277777778,339.4112805595502,65.13286706851407,0.00671704441638216,,,11.54,,,258.1339993470215,,,-2.8914317625140877,1.113064
TYC 4273-695-1,2022-12-07T20:38:09.114,339.6230466666666,65.06957249999999,339.6610371087892,65.06244469177481,0.01753028104404896,,,12.47,,,285.5302140287423,,,-3.0009489144203823,1.113064
TYC 4273-822-1,2022-12-07T20:38:09.114,339.8645287499999,65.14470083333335,339.87354147350976,65.14673070501111,0.004297732049939649,,,11.65,,,192.25196942784373,,,-2.5714957307565394,1.113064
TYC 4273-849-1,2022-12-07T20:38:09.114,339.3875783333333,65.02880222222223,339.3786737147897,65.03528512112564,0.007493737850385305,,,13.1,,,513.8262897828165,,,-3.638859539887307,1.113064
TYC 4273-922-1,2022-12-07T20:38:09.114,339.2812283333333,64.93230138888889,339.30449971357467,64.91726938192707,0.017978650768982852,,,11.47,,,208.2173222102149,,,-2.6581108795172965,1.113064
V* RZ Cep,2022-12-07T20:38:09.114,339.8049033333333,64.85850305555554,339.8105485022269,64.86047489991958,0.0031048303191536955,,,9.48,,,125.088247266326,,,-2.1048600053370783,1.113064
TYC 4273-1186-1,2022-12-07T20:43:17.192,339.8064062499999,65.00935527777777,339.7983902491467,65.01200713334373,0.004301131349453517,,,11.52,,,1826.6232402160854,,,-5.015941184483735,1.118164
TYC 4273-149-1,2022-12-07T20:43:17.192,339.36657125,64.86602138888888,339.4118247763642,64.8922083271913,0.03247823399015403,,,12.75,,,84.02203860293844,,,-1.6728017734764442,1.118164
TYC 4273-319-1,2022-12-07T20:43:17.192,339.58776499999993,65.066285,339.52366754376976,65.07570180376375,0.028610857092131285,,,12.89,,,236.81031956748666,,,-2.797820296912465,1.118164
TYC 4273-343-1,2022-12-07T20:43:17.192,339.3993054166666,65.13731277777778,339.4276487153077,65.13117371353157,0.013406380635257039,,,11.54,,,248.72674238273055,,,-2.8511249419211464,1.118164
TYC 4273-695-1,2022-12-07T20:43:17.192,339.6230466666666,65.06957249999999,339.6450794288904,65.08572880533862,0.018633996970810484,,,12.47,,,1394.1602947170386,,,-4.722600512229401,1.118164
